Category,Item,Serving Size,Calories,Carbohydrates,Carbohydrates (% Daily Value),Sugars
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140,39,13,39
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,55,18,55
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,76,25,76
Beverages,Coca-Cola Classic (Child),12 fl oz cup,100,28,9,28
Beverages,Diet Coke (Small),16 fl oz cup,0,0,0,0
Beverages,Diet Coke (Medium),21 fl oz cup,0,0,0,0
Beverages,Diet Coke (Large),30 fl oz cup,0,0,0,0
Beverages,Diet Coke (Child),12 fl oz cup,0,0,0,0
Beverages,Dr Pepper (Small),16 fl oz cup,140,37,12,35
Beverages,Dr Pepper (Medium),21 fl oz cup,190,53,18,51
Beverages,Dr Pepper (Large),30 fl oz cup,270,72,24,70
Beverages,Dr Pepper (Child),12 fl oz cup,100,27,9,26
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0,0,0
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0,0,0
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0,0,0
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0,0,0
Beverages,Sprite (Small),16 fl oz cup,140,37,12,37
Beverages,Sprite (Medium),21 fl oz cup,200,54,18,54
Beverages,Sprite (Large),30 fl oz cup,280,74,25,74
Beverages,Sprite (Child),12 fl oz cup,100,27,9,27
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),100,12,4,12
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),130,23,8,22
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,21,7,19
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,150,34,11,30
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,190,44,15,39
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,280,65,22,58
Beverages,Dasani Water Bottle,16.9 fl oz,0,0,0,0
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0,0,0
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,150,36,12,36
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,180,45,15,45
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,220,54,18,54
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,110,27,9,27
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0,0,0
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0,0,0
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0,0,0
Coffee & Tea,Latte (Small),12 fl oz cup,170,15,5,12
Coffee & Tea,Latte (Medium),16 fl oz cup,210,18,6,15
Coffee & Tea,Latte (Large),20 fl oz cup,280,24,8,20
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,270,40,13,38
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,340,50,17,48
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,430,62,21,59
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,270,40,13,38
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,330,50,17,47
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,430,62,21,58
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,260,38,13,36
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,330,48,16,45
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,420,60,20,56
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,24,8,12
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,29,10,15
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,37,12,20
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,100,15,5,13
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,130,19,6,16
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,170,25,8,21
